game_id,team_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
22401186,1610612737,2025-04-13,ATL vs. ORL,W,240,47,88,0.534,17,40,0.425,6,10,0.6,9,35,44,32,8,2,15,15,117
22401173,1610612737,2025-04-11,ATL @ PHI,W,240,45,94,0.479,16,42,0.381,18,24,0.75,18,35,53,28,9,5,14,15,124
22401169,1610612737,2025-04-10,ATL @ BKN,W,240,48,84,0.571,15,36,0.417,22,33,0.667,7,44,51,36,11,1,15,19,133
22401149,1610612737,2025-04-08,ATL @ ORL,L,240,40,88,0.455,14,41,0.341,18,22,0.818,14,27,41,25,7,6,18,26,112
22401136,1610612737,2025-04-06,ATL vs. UTA,W,240,54,95,0.568,22,41,0.537,17,20,0.85,11,31,42,43,7,3,11,19,147
22401128,1610612737,2025-04-05,ATL vs. NYK,L,240,41,88,0.466,14,45,0.311,9,12,0.75,9,29,38,24,11,7,15,18,105
22401109,1610612737,2025-04-02,ATL @ DAL,L,240,42,97,0.433,15,39,0.385,19,22,0.864,12,31,43,29,7,3,11,19,118
22401097,1610612737,2025-04-01,ATL vs. POR,L,240,41,92,0.446,7,32,0.219,24,28,0.857,12,33,45,26,12,8,19,22,113
22401083,1610612737,2025-03-30,ATL @ MIL,W,240,50,94,0.532,17,48,0.354,28,35,0.8,15,31,46,36,10,2,8,29,145
22401062,1610612737,2025-03-27,ATL @ MIA,L,240,43,83,0.518,18,41,0.439,8,11,0.727,6,30,36,27,10,2,15,11,112
22401049,1610612737,2025-03-25,ATL @ HOU,L,240,43,103,0.417,15,49,0.306,13,15,0.867,18,24,42,32,8,1,14,26,114
22401031,1610612737,2025-03-23,ATL vs. PHI,W,240,48,87,0.552,17,37,0.459,19,22,0.864,10,29,39,35,11,4,16,26,132
22401025,1610612737,2025-03-22,ATL vs. GSW,W,240,49,86,0.57,15,36,0.417,11,18,0.611,10,36,46,37,5,3,14,23,124
22400993,1610612737,2025-03-18,ATL @ CHA,W,240,50,93,0.538,22,45,0.489,12,15,0.8,11,35,46,27,12,8,10,17,134
22400978,1610612737,2025-03-16,ATL @ BKN,L,240,42,90,0.467,11,37,0.297,19,24,0.792,10,28,38,27,12,11,14,17,114
