player_id,full_name,first_name,last_name
1630173,Precious Achiuwa,Precious,Achiuwa
203500,Steven Adams,Steven,Adams
1628389,Bam Adebayo,Bam,Adebayo
1630534,Ochai Agbaji,Ochai,Agbaji
1630583,Santi Aldama,Santi,Aldama
1641725,Trey Alexander,Trey,Alexander
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker
1628960,Grayson Allen,Grayson,Allen
1628386,Jarrett Allen,Jarrett,Allen
1630631,Jose Alvarado,Jose,Alvarado
203937,Kyle Anderson,Kyle,Anderson
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo
1630175,Cole Anthony,Cole,Anthony
1628384,OG Anunoby,OG,Anunoby
1630166,Deni Avdija,Deni,Avdija
1629028,Deandre Ayton,Deandre,Ayton
1628963,Marvin Bagley III,Marvin,Bagley III
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.
1630163,LaMelo Ball,LaMelo,Ball
1628366,Lonzo Ball,Lonzo,Ball
1628964,Mo Bamba,Mo,Bamba
1631094,Paolo Banchero,Paolo,Banchero
1630217,Desmond Bane,Desmond,Bane
1630625,Dalano Banton,Dalano,Banton
1631230,Dominick Barlow,Dominick,Barlow
203084,Harrison Barnes,Harrison,Barnes
1630567,Scottie Barnes,Scottie,Barnes
1629628,RJ Barrett,RJ,Barrett
1629646,Charles Bassey,Charles,Bassey
1641734,Emoni Bates,Emoni,Bates
1642419,Jamison Battle,Jamison,Battle
201587,Nicolas Batum,Nicolas,Batum
203078,Bradley Beal,Bradley,Beal
1627736,Malik Beasley,Malik,Beasley
1630699,MarJon Beauchamp,MarJon,Beauchamp
1641736,Reece Beekman,Reece,Beekman
1629048,Goga Bitadze,Goga,Bitadze
1641710,Anthony Black,Anthony,Black
203992,Bogdan Bogdanović,Bogdan,Bogdanović
1629626,Bol Bol,Bol,Bol
1641737,Adem Bona,Adem,Bona
1626164,Devin Booker,Devin,Booker
1630527,Brandon Boston,Brandon,Boston
1628449,Chris Boucher,Chris,Boucher
1631103,Malaki Branham,Malaki,Branham
1631128,Christian Braun,Christian,Braun
1641779,Jalen Bridges,Jalen,Bridges
1628969,Mikal Bridges,Mikal,Bridges
1628970,Miles Bridges,Miles,Bridges
1627763,Malcolm Brogdon,Malcolm,Brogdon
1628415,Dillon Brooks,Dillon,Brooks
1631232,Keion Brooks Jr.,Keion,Brooks Jr.
1628971,Bruce Brown,Bruce,Brown
1627759,Jaylen Brown,Jaylen,Brown
1641738,Kobe Brown,Kobe,Brown
1629650,Moses Brown,Moses,Brown
1628973,Jalen Brunson,Jalen,Brunson
1628418,Thomas Bryant,Thomas,Bryant
1641723,Kobe Bufkin,Kobe,Bufkin
202692,Alec Burks,Alec,Burks
1630215,Jared Butler,Jared,Butler
202710,Jimmy Butler III,Jimmy,Butler III
1641824,Matas Buzelis,Matas,Buzelis
1631288,Jamal Cain,Jamal,Cain
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope
1641739,Toumani Camara,Toumani,Camara
203991,Clint Capela,Clint,Capela
1642382,Branden Carlson,Branden,Carlson
1642267,Bub Carrington,Bub,Carrington
1642269,Devin Carter,Devin,Carter
1628975,Jevon Carter,Jevon,Carter
1628976,Wendell Carter Jr.,Wendell,Carter Jr.
1630618,D.J. Carton,D.J.,Carton
1627936,Alex Caruso,Alex,Caruso
1642264,Stephon Castle,Stephon,Castle
1630658,Colin Castleton,Colin,Castleton
1630577,Julian Champagnie,Julian,Champagnie
1630551,Justin Champagnie,Justin,Champagnie
1642279,Ulrich Chomche,Ulrich,Chomche
1642353,Cam Christie,Cam,Christie
1631108,Max Christie,Max,Christie
1630528,Josh Christopher,Josh,Christopher
1631321,Sidy Cissoko,Sidy,Cissoko
1641740,Jaylen Clark,Jaylen,Clark
1629634,Brandon Clarke,Brandon,Clarke
203903,Jordan Clarkson,Jordan,Clarkson
1629651,Nic Claxton,Nic,Claxton
1642270,Donovan Clingan,Donovan,Clingan
1641730,Noah Clowney,Noah,Clowney
1629599,Amir Coffey,Amir,Coffey
1642268,Isaiah Collier,Isaiah,Collier
1628381,John Collins,John,Collins
1628380,Zach Collins,Zach,Collins
201144,Mike Conley,Mike,Conley
1626192,Pat Connaughton,Pat,Connaughton
1641731,Bilal Coulibaly,Bilal,Coulibaly
1641741,Ricky Council IV,Ricky,Council IV
1628470,Torrey Craig,Torrey,Craig
1642384,Isaiah Crawford,Isaiah,Crawford
203109,Jae Crowder,Jae,Crowder
1630595,Cade Cunningham,Cade,Cunningham
203552,Seth Curry,Seth,Curry
201939,Stephen Curry,Stephen,Curry
1642359,Pacome Dadiet,Pacome,Dadiet
1630700,Dyson Daniels,Dyson,Daniels
