Player_ID,full_name,first_name,last_name,Primary_Team_ID,Primary_Team,Primary_Team_Abbr,Games_With_Primary_Team,All_Teams,Num_Teams,Season_Games,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV_ratio
1630173,Precious Achiuwa,Precious,Achiuwa,1610612752,New York Knicks,NYK,57,NYK,1,57,20.491,2.877,5.737,0.499,0.175,0.632,0.11,0.719,1.211,0.321,1.772,3.789,5.561,0.965,0.825,0.737,0.789,1.421,6.649,1.222
203500,Steven Adams,Steven,Adams,1610612745,Houston Rockets,HOU,58,HOU,1,58,13.672,1.569,2.879,0.482,0.0,0.034,0.0,0.741,1.603,0.244,2.862,2.776,5.638,1.138,0.379,0.483,0.931,1.034,3.879,1.222
1628389,Bam Adebayo,Bam,Adebayo,1610612748,Miami Heat,MIA,78,MIA,1,78,34.346,6.923,14.269,0.478,1.013,2.833,0.308,3.218,4.205,0.693,2.372,7.231,9.603,4.321,1.256,0.679,2.064,2.077,18.077,2.093
1630534,Ochai Agbaji,Ochai,Agbaji,1610612761,Toronto Raptors,TOR,64,TOR,1,64,27.234,4.156,8.344,0.512,1.578,3.953,0.375,0.531,0.75,0.216,0.953,2.828,3.781,1.531,0.906,0.469,0.844,1.953,10.422,1.815
1630583,Santi Aldama,Santi,Aldama,1610612763,Memphis Grizzlies,MEM,65,MEM,1,65,25.508,4.815,9.969,0.471,1.846,5.015,0.354,1.0,1.446,0.345,1.446,4.954,6.4,2.892,0.8,0.446,1.092,1.169,12.477,2.648
1641725,Trey Alexander,Trey,Alexander,1610612743,Denver Nuggets,DEN,24,DEN,1,24,4.833,0.542,1.708,0.209,0.125,0.708,0.049,0.125,0.167,0.062,0.042,0.458,0.5,0.458,0.083,0.042,0.208,0.417,1.333,2.2
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,1610612750,Minnesota Timberwolves,MIN,82,MIN,1,82,25.293,3.293,7.512,0.44,1.72,4.512,0.389,1.122,1.439,0.448,0.659,2.573,3.232,2.72,0.61,0.415,1.207,1.695,9.427,2.253
1628960,Grayson Allen,Grayson,Allen,1610612756,Phoenix Suns,PHX,64,PHX,1,64,24.125,3.422,7.641,0.454,2.328,5.469,0.428,1.453,1.781,0.468,0.531,2.5,3.031,2.141,0.844,0.297,1.172,1.484,10.625,1.827
1628386,Jarrett Allen,Jarrett,Allen,1610612739,Cleveland Cavaliers,CLE,82,CLE,1,82,27.988,5.512,7.805,0.697,0.0,0.061,0.0,2.427,3.378,0.582,2.634,7.098,9.732,1.927,0.939,0.89,1.183,1.549,13.451,1.629
1630631,Jose Alvarado,Jose,Alvarado,1610612740,New Orleans Pelicans,NOP,56,NOP,1,56,24.393,3.643,9.304,0.381,1.982,5.518,0.334,1.071,1.321,0.417,0.482,1.946,2.429,4.625,1.321,0.25,1.536,1.625,10.339,3.012
203937,Kyle Anderson,Kyle,Anderson,1610612744,Golden State Warriors,GSW,36,"GSW, MIA",2,61,16.475,2.328,4.967,0.466,0.41,1.148,0.219,0.787,1.066,0.272,0.869,2.508,3.377,2.377,0.656,0.541,0.607,1.328,5.852,3.919
