player_id,primary_team_id,primary_team_abbr,all_teams_season,num_teams,games_with_primary_team,season
1630173,1610612752,NYK,NYK,1,57,2024-25
203500,1610612745,HOU,HOU,1,58,2024-25
1628389,1610612748,MIA,MIA,1,78,2024-25
1630534,1610612761,TOR,TOR,1,64,2024-25
1630583,1610612763,MEM,MEM,1,65,2024-25
1641725,1610612743,DEN,DEN,1,24,2024-25
1629638,1610612750,MIN,MIN,1,82,2024-25
1628960,1610612756,PHX,PHX,1,64,2024-25
1628386,1610612739,CLE,CLE,1,82,2024-25
1630631,1610612740,NOP,NOP,1,56,2024-25
203937,1610612744,GSW,"GSW, MIA",2,36,2024-25
203507,1610612749,MIL,MIL,1,67,2024-25
1630175,1610612753,ORL,ORL,1,67,2024-25
1628384,1610612752,NYK,NYK,1,74,2024-25
1630166,1610612757,POR,POR,1,72,2024-25
1629028,1610612757,POR,POR,1,40,2024-25
1628963,1610612764,WAS,"MEM, WAS",2,19,2024-25
1631116,1610612764,WAS,"LAC, WAS",2,22,2024-25
1630163,1610612766,CHA,CHA,1,47,2024-25
1628366,1610612741,CHI,CHI,1,35,2024-25
1628964,1610612746,LAC,"LAC, NOP",2,28,2024-25
1631094,1610612753,ORL,ORL,1,46,2024-25
1630217,1610612763,MEM,MEM,1,69,2024-25
1630625,1610612757,POR,POR,1,67,2024-25
1631230,1610612737,ATL,ATL,1,35,2024-25
203084,1610612759,SAS,SAS,1,82,2024-25
1630567,1610612761,TOR,TOR,1,65,2024-25
1629628,1610612761,TOR,TOR,1,58,2024-25
1629646,1610612759,SAS,SAS,1,36,2024-25
1641734,1610612739,CLE,CLE,1,10,2024-25
1642419,1610612761,TOR,TOR,1,59,2024-25
201587,1610612746,LAC,LAC,1,78,2024-25
203078,1610612756,PHX,PHX,1,53,2024-25
1627736,1610612765,DET,DET,1,82,2024-25
1630699,1610612749,MIL,"LAC, MIL, NYK",3,26,2024-25
1641736,1610612751,BKN,"BKN, GSW",2,34,2024-25
1629048,1610612753,ORL,ORL,1,70,2024-25
1641710,1610612753,ORL,ORL,1,78,2024-25
203992,1610612746,LAC,"ATL, LAC",2,30,2024-25
1629626,1610612756,PHX,PHX,1,36,2024-25
1641737,1610612755,PHI,PHI,1,58,2024-25
1626164,1610612756,PHX,PHX,1,75,2024-25
1630527,1610612740,NOP,NOP,1,42,2024-25
1628449,1610612761,TOR,TOR,1,50,2024-25
1631103,1610612759,SAS,SAS,1,47,2024-25
1631128,1610612743,DEN,DEN,1,79,2024-25
1641779,1610612756,PHX,PHX,1,8,2024-25
1628969,1610612752,NYK,NYK,1,82,2024-25
1628970,1610612766,CHA,CHA,1,64,2024-25
1627763,1610612764,WAS,WAS,1,24,2024-25
1628415,1610612745,HOU,HOU,1,75,2024-25
1631232,1610612740,NOP,NOP,1,14,2024-25
1628971,1610612740,NOP,"NOP, TOR",2,23,2024-25
1627759,1610612738,BOS,BOS,1,63,2024-25
1641738,1610612746,LAC,LAC,1,40,2024-25
1629650,1610612754,IND,"DAL, IND",2,9,2024-25
1628973,1610612752,NYK,NYK,1,65,2024-25
1628418,1610612754,IND,"IND, MIA",2,56,2024-25
1641723,1610612737,ATL,ATL,1,10,2024-25
202692,1610612748,MIA,MIA,1,49,2024-25
1630215,1610612764,WAS,"PHI, WAS",2,32,2024-25
202710,1610612744,GSW,"GSW, MIA",2,30,2024-25
1641824,1610612741,CHI,CHI,1,80,2024-25
1631288,1610612740,NOP,NOP,1,37,2024-25
203484,1610612753,ORL,ORL,1,77,2024-25
1641739,1610612757,POR,POR,1,78,2024-25
203991,1610612737,ATL,ATL,1,55,2024-25
1642382,1610612760,OKC,OKC,1,32,2024-25
1642267,1610612764,WAS,WAS,1,82,2024-25
1642269,1610612758,SAC,SAC,1,36,2024-25
1628975,1610612741,CHI,CHI,1,36,2024-25
1628976,1610612753,ORL,ORL,1,68,2024-25
1630618,1610612761,TOR,TOR,1,4,2024-25
1627936,1610612760,OKC,OKC,1,54,2024-25
1642264,1610612759,SAS,SAS,1,81,2024-25
1630658,1610612761,TOR,"MEM, PHI, TOR",3,11,2024-25
1630577,1610612759,SAS,SAS,1,82,2024-25
1630551,1610612764,WAS,WAS,1,62,2024-25
1642279,1610612761,TOR,TOR,1,7,2024-25
1642353,1610612746,LAC,LAC,1,13,2024-25
1631108,1610612747,LAL,"DAL, LAL",2,46,2024-25
1630528,1610612748,MIA,MIA,1,14,2024-25
1631321,1610612759,SAS,"POR, SAS",2,17,2024-25
1641740,1610612750,MIN,MIN,1,40,2024-25
1629634,1610612763,MEM,MEM,1,64,2024-25
203903,1610612762,UTA,UTA,1,37,2024-25
1629651,1610612751,BKN,BKN,1,70,2024-25
1642270,1610612757,POR,POR,1,67,2024-25
1641730,1610612751,BKN,BKN,1,46,2024-25
1629599,1610612746,LAC,LAC,1,72,2024-25
1642268,1610612762,UTA,UTA,1,71,2024-25
1628381,1610612762,UTA,UTA,1,40,2024-25
1628380,1610612759,SAS,"CHI, SAS",2,36,2024-25
201144,1610612750,MIN,MIN,1,71,2024-25
1626192,1610612749,MIL,MIL,1,41,2024-25
1641731,1610612764,WAS,WAS,1,59,2024-25
1641741,1610612755,PHI,PHI,1,73,2024-25
1628470,1610612738,BOS,"BOS, CHI",2,17,2024-25
1642384,1610612758,SAC,SAC,1,15,2024-25
203109,1610612758,SAC,SAC,1,9,2024-25
1630595,1610612765,DET,DET,1,70,2024-25
203552,1610612766,CHA,CHA,1,68,2024-25
201939,1610612744,GSW,GSW,1,70,2024-25
1642359,1610612752,NYK,NYK,1,18,2024-25
1630700,1610612737,ATL,ATL,1,76,2024-25
203076,1610612747,LAL,"DAL, LAL",2,42,2024-25
1631098,1610612764,WAS,WAS,1,34,2024-25
1631120,1610612738,BOS,BOS,1,16,2024-25
201942,1610612758,SAC,SAC,1,77,2024-25
1642484,1610612754,IND,IND,1,11,2024-25
1628978,1610612750,MIN,MIN,1,62,2024-25
1631217,1610612766,CHA,CHA,1,71,2024-25
1641711,1610612761,TOR,TOR,1,54,2024-25
1631172,1610612760,OKC,OKC,1,37,2024-25
1642265,1610612750,MIN,MIN,1,49,2024-25
203915,1610612742,DAL,DAL,1,79,2024-25
1629029,1610612747,LAL,"DAL, LAL",2,28,2024-25
1629652,1610612760,OKC,OKC,1,71,2024-25
1630245,1610612741,CHI,CHI,1,46,2024-25
1630288,1610612755,PHI,PHI,1,41,2024-25
1628408,1610612750,MIN,MIN,1,9,2024-25
203083,1610612755,PHI,PHI,1,40,2024-25
1630537,1610612741,CHI,CHI,1,16,2024-25
1642505,1610612760,OKC,OKC,1,21,2024-25
1630561,1610612759,SAS,SAS,1,6,2024-25
1627739,1610612746,LAC,LAC,1,74,2024-25
1642346,1610612756,PHX,PHX,1,74,2024-25
201142,1610612756,PHX,PHX,1,62,2024-25
1631105,1610612765,DET,DET,1,78,2024-25
1631106,1610612745,HOU,HOU,1,57,2024-25
1641744,1610612763,MEM,MEM,1,66,2024-25
1630162,1610612750,MIN,MIN,1,79,2024-25
1642348,1610612755,PHI,PHI,1,44,2024-25
1630556,1610612742,DAL,DAL,1,40,2024-25
1631165,1610612758,SAC,SAC,1,80,2024-25
203954,1610612755,PHI,PHI,1,19,2024-25
1629234,1610612762,UTA,"LAC, UTA",2,37,2024-25
1641787,1610612751,BKN,BKN,1,28,2024-25
203957,1610612742,DAL,DAL,1,20,2024-25
1628981,1610612761,TOR,TOR,1,17,2024-25
1642271,1610612762,UTA,UTA,1,72,2024-25
1627827,1610612747,LAL,"BKN, LAL",2,43,2024-25
1641745,1610612760,OKC,OKC,1,37,2024-25
1642280,1610612746,LAC,LAC,1,6,2024-25
1631323,1610612765,DET,DET,1,75,2024-25
1628368,1610612758,SAC,"SAC, SAS",2,45,2024-25
1642402,1610612754,IND,IND,1,22,2024-25
1642277,1610612754,IND,IND,1,50,2024-25
1629655,1610612742,DAL,DAL,1,57,2024-25
1629636,1610612739,CLE,CLE,1,75,2024-25
1630568,1610612750,MIN,MIN,1,39,2024-25
1641718,1610612762,UTA,UTA,1,67,2024-25
1642273,1610612764,WAS,WAS,1,68,2024-25
202331,1610612755,PHI,PHI,1,41,2024-25
201959,1610612766,CHA,CHA,1,37,2024-25
1630581,1610612741,CHI,CHI,1,70,2024-25
1628983,1610612760,OKC,OKC,1,76,2024-25
