Player_ID,Name,Position,Height_Inches,Weight_lbs,PTS,AST,TRB,TOV,FG_Pct,FG3_Pct,FT_Pct,TS_Pct,AST_TO_Ratio
bac221f8,Charles Johnson,SF,80,218,15.6,4.0,5.1,2.8,0.448,0.42,0.811,0.439,1.42
45fc3c2c,George Anderson,SG,77,195,13.7,3.4,2.0,1.5,0.354,0.342,0.699,0.358,2.32
4daeb709,Richard Wright,PG,71,171,19.9,5.5,3.1,1.6,0.359,0.323,0.809,0.368,3.51
5ad6948c,Joshua Ramirez,PG,74,179,12.8,4.8,4.9,1.3,0.429,0.297,0.866,0.427,3.6
ec7a35a9,John Garcia,SG,76,180,9.4,3.3,5.1,0.8,0.449,0.364,0.756,0.435,3.97
f1547521,Donald Allen,C,82,248,14.2,1.2,6.0,1.1,0.569,0.111,0.569,0.5,1.08
bd287ee9,John Scott,SG,78,209,11.8,2.5,4.5,0.7,0.489,0.346,0.765,0.467,3.46
2c13d0ca,Andrew Clark,SG,74,208,22.8,2.9,5.5,1.6,0.458,0.338,0.809,0.446,1.81
fa6b5c0d,Larry Nguyen,SF,79,243,6.0,3.3,5.6,2.5,0.445,0.336,0.6,0.419,1.32
a484e171,James Hernandez,PF,82,262,9.9,0.9,7.0,0.8,0.555,0.306,0.647,0.502,1.11
94628dc7,Anthony Moore,SG,76,210,12.5,2.5,3.4,1.0,0.367,0.385,0.801,0.374,2.5
59b42a58,Mark Perez,PG,73,171,12.3,5.3,2.2,2.2,0.422,0.37,0.95,0.425,2.4
8da70b85,David Harris,PG,74,184,6.3,5.9,3.1,2.4,0.553,0.34,0.824,0.52,2.52
e255cb92,Kevin Thompson,C,81,272,13.0,1.4,7.7,1.7,0.634,0.01,0.72,0.566,0.81
36746172,Kenneth Williams,PF,79,232,12.4,1.1,5.0,0.7,0.504,0.195,0.747,0.476,1.62
1701ec81,Andrew Davis,PF,84,228,10.7,2.2,5.5,1.8,0.514,0.38,0.539,0.458,1.19
420b383b,David Scott,SF,80,232,8.1,1.2,6.3,0.8,0.475,0.345,0.778,0.457,1.51
376a54e7,Dennis White,C,83,259,7.1,1.9,11.2,1.9,0.479,0.216,0.533,0.434,1.04
974fd213,Paul Jones,PG,75,177,17.9,6.8,3.8,2.1,0.525,0.338,0.74,0.491,3.21
61b3e41f,Donald Jackson,PG,71,184,15.4,6.6,3.8,4.4,0.431,0.423,0.779,0.423,1.49
76c98dcd,Donald Miller,PF,82,227,7.7,1.9,7.6,1.2,0.543,0.318,0.693,0.499,1.59
f2a1d8b6,Steven Robinson,SF,76,213,16.4,2.7,3.6,2.3,0.469,0.353,0.679,0.444,1.2
15fe7485,Christopher White,SF,79,203,14.4,3.1,7.1,2.8,0.513,0.247,0.675,0.475,1.11
dc13ee3e,Mark Moore,PG,74,190,29.4,7.1,4.1,3.4,0.478,0.383,0.775,0.459,2.1
4f9fc177,Jerry Hernandez,C,81,251,8.1,1.0,15.8,0.7,0.45,0.219,0.456,0.403,1.42
965e7faf,George Hernandez,PF,83,241,7.7,0.9,9.4,0.6,0.456,0.297,0.705,0.437,1.49
87f09386,Matthew Moore,C,87,265,4.0,1.1,8.3,1.0,0.601,0.071,0.636,0.531,1.11
cc1f69b0,Donald Lee,PG,75,173,12.7,5.1,2.3,2.5,0.518,0.37,0.699,0.482,2.03
9a833aee,Donald Williams,SF,83,235,6.9,2.0,7.4,1.2,0.425,0.357,0.812,0.421,1.63
cff23bfa,Gary Moore,PG,73,153,9.9,5.5,1.8,2.3,0.512,0.278,0.765,0.484,2.42
b84fed34,Mark Torres,SF,82,198,17.7,2.5,4.0,2.0,0.483,0.342,0.702,0.457,1.23
03b8c359,Mark Young,PF,80,242,14.6,2.8,5.5,2.5,0.628,0.124,0.685,0.557,1.09
d99f299c,Jeffrey Martinez,SF,80,211,12.2,2.0,4.6,2.0,0.502,0.351,0.695,0.47,1.02
bb5bf2bf,Joseph Thomas,C,84,267,12.5,0.6,8.6,0.5,0.595,0.211,0.647,0.529,1.17
95a53329,Andrew Taylor,C,86,246,12.2,0.9,9.5,1.0,0.616,0.233,0.748,0.557,0.94
31fb999d,Jose Nguyen,PF,81,250,10.8,1.8,7.7,2.1,0.506,0.328,0.618,0.464,0.82
d2d5ac3b,Jason Anderson,SG,74,188,21.8,4.2,4.9,1.7,0.471,0.369,0.708,0.449,2.45
87c28cf7,Eric Young,PG,72,195,13.4,4.3,2.7,1.8,0.451,0.322,0.734,0.435,2.36
adfbed22,Michael Davis,SG,76,195,13.6,3.3,2.0,1.4,0.37,0.334,0.763,0.374,2.32
8a6914ef,Christopher Ramirez,C,86,268,9.4,1.0,7.5,0.6,0.549,0.121,0.689,0.503,1.58
a5b4710c,William Harris,PF,82,263,11.6,1.8,9.4,1.5,0.476,0.298,0.701,0.451,1.22
63eb2751,Jerry Robinson,C,81,255,12.0,1.7,12.4,1.4,0.679,0.073,0.755,0.601,1.2
376cb9b5,Kenneth Scott,PG,77,177,10.6,4.8,1.0,2.1,0.404,0.312,0.812,0.404,2.3
657a86e1,Charles Wright,SF,83,234,10.7,1.6,6.2,1.1,0.394,0.42,0.844,0.398,1.42
ea16d489,Anthony Davis,SF,76,240,12.5,3.7,3.1,2.7,0.43,0.33,0.754,0.421,1.41
3773871f,Jose Hernandez,PF,82,224,11.4,1.6,9.0,1.7,0.543,0.19,0.547,0.479,0.95
e6998e5e,James Taylor,C,84,244,16.2,1.1,12.9,0.8,0.554,0.3,0.8,0.518,1.33
237ca782,Daniel Allen,PG,75,191,19.5,4.1,3.7,0.8,0.483,0.262,0.705,0.457,5.1
